comparison_type,ssim,features2d,stage,link1_change,link2_change,ssim_exp,ssim_exp_scale,group
maps,100,100,3,gimg1859,gimg1859,0,0,2
maps,100,100,3,pahigueraf,pahigueraf,0,0,2
maps,100,100,3,sarguellesr,sarguellesr,0,0,2
charts,100,100,3,pahigueraf,pahigueraf,0,0,2
complete,99.8,100,3,Acreed21,Acreed21,0.2,0.002,2
complete,36.4,100,3,Camiioo,Camiioo,63.6,0.636,2
complete,85.1,100,3,FredyRosero,FredyRosero,14.9,0.149,2
complete,100,100,3,JamerMejiaGarcia,JamerMejiaGarcia,0,0,2
complete,29.3,100,3,Jfcastroh,Jfcastroh,70.7,0.707,2
complete,91.6,100,3,LauraMolina,LauraMolina,8.4,0.084,2
complete,100,100,3,RafaelCruz15,RafaelCruz15,0,0,2
complete,100,100,3,adcorredorm,adcorredorm,0,0,2
complete,100,100,3,alebautis,alebautis,0,0,2
complete,82,99,3,ayperezc,ayperezc,18,0.18,2
complete,100,100,3,bfprietoc,bfprietoc,0,0,2
complete,33.8,100,3,biherrerap,biherrerap,66.2,0.662,2
complete,42.1,100,3,dahrojasca,dahrojasca,57.9,0.579,2
complete,72.8,100,3,davideperdomo,davideperdomo,27.2,0.272,2
complete,74.3,95,3,frnkbs,frnkbs,25.7,0.257,2
complete,100,100,3,gahormigag,gahormigag,0,0,2
complete,100,100,3,gimg1859,gimg1859,0,0,2
complete,86.9,100,3,ironhacktech2,ironhacktech2,13.1,0.131,2
complete,100,100,3,jannMorenoJ,jannMorenoJ,0,0,2
complete,41,100,3,jdgaitanf,jdgaitanf,59,0.59,2
complete,32.9,100,3,nikolasto,nikolasto,67.1,0.671,2
complete,100,100,3,pahigueraf,pahigueraf,0,0,2
complete,100,100,3,sarguellesr,sarguellesr,0,0,2
complete,100,100,3,uxjudges1,uxjudges1,0,0,2
complete,100,100,3,uxjudges,uxjudges,0,0,2
complete,100,100,3,vvargasd,vvargasd,0,0,2
simple,99.8,100,3,Acreed21,Acreed21,0.2,0.002,2
simple,100,100,3,Camiioo,Camiioo,0,0,2
simple,93.2,100,3,FredyRosero,FredyRosero,6.8,0.068,2
simple,100,100,3,JamerMejiaGarcia,JamerMejiaGarcia,0,0,2
simple,46.4,100,3,Jfcastroh,Jfcastroh,53.6,0.536,2
simple,100,100,3,LauraMolina,LauraMolina,0,0,2
simple,100,100,3,RafaelCruz15,RafaelCruz15,0,0,2
simple,100,100,3,adcorredorm,adcorredorm,0,0,2
simple,100,100,3,alebautis,alebautis,0,0,2
simple,95.8,98.3,3,ayperezc,ayperezc,4.2,0.042,2
simple,100,100,3,bfprietoc,bfprietoc,0,0,2
simple,33.8,100,3,biherrerap,biherrerap,66.2,0.662,2
simple,42.1,100,3,dahrojasca,dahrojasca,57.9,0.579,2
simple,27.6,94.7,3,frnkbs,frnkbs,72.4,0.724,2
simple,100,100,3,gahormigag,gahormigag,0,0,2
simple,35.8,100,3,gimg1859,gimg1859,64.2,0.642,2
simple,86.9,100,3,ironhacktech2,ironhacktech2,13.1,0.131,2
simple,100,100,3,jannMorenoJ,jannMorenoJ,0,0,2
simple,41,100,3,jdgaitanf,jdgaitanf,59,0.59,2
simple,32.9,100,3,nikolasto,nikolasto,67.1,0.671,2
simple,100,100,3,pahigueraf,pahigueraf,0,0,2
simple,100,100,3,sarguellesr,sarguellesr,0,0,2
simple,100,100,3,uxjudges1,uxjudges1,0,0,2
simple,100,100,3,uxjudges,uxjudges,0,0,2
simple,100,100,3,vvargasd,vvargasd,0,0,2
maps,99.4,100,4,FredyRosero,FredyRosero,0.6,0.006,2
maps,100,100,4,JamerMejiaGarcia,JamerMejiaGarcia,0,0,2
maps,100,100,4,Jfcastroh,Jfcastroh,0,0,2
maps,100,100,4,LauraMolina,LauraMolina,0,0,2
maps,19,100,4,RafaelCruz15,RafaelCruz15,81,0.81,2
maps,25.8,39.2,4,adcorredorm,adcorredorm,74.2,0.742,2
maps,100,100,4,ayperezc,ayperezc,0,0,2
maps,100,100,4,biherrerap,biherrerap,0,0,2
maps,98.9,100,4,davideperdomo,davideperdomo,1.1,0.011,2
maps,28,36.3,4,frnkbs,frnkbs,72,0.72,2
maps,25.8,50.8,4,pahigueraf,pahigueraf,74.2,0.742,2
maps,100,100,4,sarguellesr,sarguellesr,0,0,2
complete,33.6,100,4,Acreed21,Acreed21,66.4,0.664,2
complete,46.1,50.4,4,Camiioo,Camiioo,53.9,0.539,2
complete,50.6,100,4,FredyRosero,FredyRosero,49.4,0.494,2
complete,100,100,4,JamerMejiaGarcia,JamerMejiaGarcia,0,0,2
complete,100,100,4,Jfcastroh,Jfcastroh,0,0,2
complete,91.5,100,4,LauraMolina,LauraMolina,8.5,0.085,2
complete,46.1,96,4,RafaelCruz15,RafaelCruz15,53.9,0.539,2
complete,67.7,100,4,adcorredorm,adcorredorm,32.3,0.323,2
complete,100,100,4,alebautis,alebautis,0,0,2
complete,100,100,4,ayperezc,ayperezc,0,0,2
complete,100,100,4,bfprietoc,bfprietoc,0,0,2
complete,88.1,100,4,biherrerap,biherrerap,11.9,0.119,2
complete,12.5,100,4,dahrojasca,dahrojasca,87.5,0.875,2
complete,75.8,100,4,davideperdomo,davideperdomo,24.2,0.242,2
complete,65.2,100,4,frnkbs,frnkbs,34.8,0.348,2
complete,100,100,4,gahormigag,gahormigag,0,0,2
complete,32.8,100,4,gimg1859,gimg1859,67.2,0.672,2
complete,86.9,100,4,ironhacktech2,ironhacktech2,13.1,0.131,2
complete,100,100,4,jannMorenoJ,jannMorenoJ,0,0,2
complete,41,100,4,jdgaitanf,jdgaitanf,59,0.59,2
complete,100,100,4,nikolasto,nikolasto,0,0,2
complete,69.6,100,4,pahigueraf,pahigueraf,30.4,0.304,2
complete,100,100,4,sarguellesr,sarguellesr,0,0,2
complete,100,100,4,uxjudges1,uxjudges1,0,0,2
complete,100,100,4,uxjudges,uxjudges,0,0,2
complete,100,100,4,vvargasd,vvargasd,0,0,2
simple,41.5,100,4,Acreed21,Acreed21,58.5,0.585,2
simple,70.5,100,4,Camiioo,Camiioo,29.5,0.295,2
simple,92.4,100,4,FredyRosero,FredyRosero,7.6,0.076,2
simple,100,100,4,JamerMejiaGarcia,JamerMejiaGarcia,0,0,2
simple,100,100,4,Jfcastroh,Jfcastroh,0,0,2
simple,90.7,100,4,LauraMolina,LauraMolina,9.3,0.093,2
simple,60.5,42.5,4,RafaelCruz15,RafaelCruz15,39.5,0.395,2
simple,100,100,4,adcorredorm,adcorredorm,0,0,2
simple,100,100,4,alebautis,alebautis,0,0,2
