,Unnamed: 0,link1_change,link2_change,ssim_exp,stage,comparison_type,group,ssim_exp_scale,ssim_exp_new
166,166,sebcamacho1703,sebcamacho1703,19.099999999999994,4,complete,1,,0.191
167,167,serbatero,serbatero,58.5,4,complete,1,,0.585
168,168,xFortich,xFortich,0.0999999999999943,4,complete,1,,0.001
169,169,yaochoal,yaochoal,0.7000000000000028,4,complete,1,,0.007
0,0,biherrerap,biherrerap,50.0,1,functions,0,0.5,0.5
1,1,SionHu,SionHu,11.76470588235294,1,functions,0,0.117647,0.117647
2,2,littlex2015,littlex2015,17.647058823529413,1,functions,0,0.176471,0.176471
3,3,Nigogu,Nigogu,66.66666666666666,1,functions,0,0.666667,0.666667
4,4,AkaGar,AkaGar,54.54545454545454,1,functions,0,0.545455,0.545455
5,5,ko68,ko68,24.390243902439025,1,functions,0,0.243902,0.243902
6,6,whipplem123,whipplem123,80.0,1,functions,0,0.8,0.8
7,7,jmamaril25,jmamaril25,62.5,1,functions,0,0.625,0.625
8,8,Alekzu,Alekzu,100.0,1,functions,0,0.9,1.0
9,9,nbraunec,nbraunec,100.0,1,functions,0,0.9,1.0
10,10,Ilyumzhinov,Ilyumzhinov,100.0,1,functions,0,0.9,1.0
11,11,Camiioo,Camiioo,100.0,1,functions,0,0.9,1.0
12,12,Gavnic,Gavnic,100.0,1,functions,0,0.9,1.0
13,13,Sariilan,Sariilan,100.0,1,functions,0,0.9,1.0
14,14,nviverosb,nviverosb,59.25925925925925,1,functions,0,0.592593,0.592593
15,15,dieguischa,dieguischa,5.88235294117647,1,functions,0,0.058824,0.058824
16,16,Acreed21,Acreed21,25.0,1,functions,0,0.25,0.25
17,17,ecottle,ecottle,57.14285714285714,1,functions,0,0.571429,0.571429
18,18,Ozai98,Ozai98,100.0,1,functions,0,0.9,1.0
19,19,Daryhez,Daryhez,4.761904761904762,1,functions,0,0.047619,0.047619
20,20,sanjitsama,sanjitsama,5.88235294117647,1,functions,0,0.058824,0.058824
21,21,DiegoAraque1207,DiegoAraque1207,60.0,1,functions,0,0.6,0.6
22,22,SergioLopez40,SergioLopez40,100.0,1,functions,0,0.9,1.0
23,23,yaochoal,yaochoal,15.0,1,functions,0,0.15,0.15
24,24,viswapurdue,viswapurdue,10.0,1,functions,0,0.1,0.1
25,25,matson3,matson3,1.282051282051282,1,functions,0,0.012821,0.012821
26,26,laurenjank,laurenjank,50.0,2,functions,0,0.5,0.5
27,27,JorgeTorresC,JorgeTorresC,100.0,2,functions,0,0.9,1.0
28,28,LukasMMarinovic,LukasMMarinovic,33.33333333333333,2,functions,0,0.333333,0.333333
29,29,daapinzonch,daapinzonch,25.0,2,functions,0,0.25,0.25
30,30,bzin22,bzin22,7.4074074074074066,2,functions,0,0.074074,0.074074
31,31,bfprietoc,bfprietoc,100.0,2,functions,0,0.9,1.0
32,32,frnkbs,frnkbs,57.14285714285714,2,functions,0,0.571429,0.571429
33,33,lennwgs,lennwgs,100.0,2,functions,0,0.9,1.0
34,34,vvargasd,vvargasd,100.0,2,functions,0,0.9,1.0
35,35,CampbellC2,CampbellC2,12.5,2,functions,0,0.125,0.125
36,36,Orloffyeah,Orloffyeah,33.33333333333333,2,functions,0,0.333333,0.333333
37,37,GeoffYart,GeoffYart,64.28571428571429,2,functions,0,0.642857,0.642857
38,38,aclipfel,aclipfel,100.0,2,functions,0,0.9,1.0
39,39,anythinglord,anythinglord,12.0,2,functions,0,0.12,0.12
40,40,Jfcastroh,Jfcastroh,100.0,2,functions,0,0.9,1.0
41,41,biherrerap,biherrerap,100.0,2,functions,0,0.9,1.0
42,42,Ilyumzhinov,Ilyumzhinov,100.0,2,functions,0,0.9,1.0
43,43,nbraunec,nbraunec,12.5,2,functions,0,0.125,0.125
44,44,ecottle,ecottle,66.66666666666666,2,functions,0,0.666667,0.666667
45,45,Ozai98,Ozai98,78.57142857142857,2,functions,0,0.785714,0.785714
46,46,dieguischa,dieguischa,2.34375,2,functions,0,0.023438,0.023438
47,47,Acreed21,Acreed21,100.0,2,functions,0,0.9,1.0
48,48,mdecloedt,mdecloedt,68.0,3,functions,0,0.68,0.68
49,49,zhao744,zhao744,27.058823529411764,3,functions,0,0.270588,0.270588
50,50,daapinzonch,daapinzonch,12.0,3,functions,0,0.12,0.12
51,51,shivans,shivans,100.0,3,functions,0,0.9,1.0
52,52,criscapunal,criscapunal,82.85714285714286,3,functions,0,0.828571,0.828571
