,username,dist_search,stage,type
740,ayperezc,0.01,2,simple
741,bfprietoc,0.01,2,simple
742,biherrerap,0.01,2,simple
743,dahrojasca,0.579,2,simple
744,frnkbs,0.439,2,simple
745,gahormigag,0.01,2,simple
746,gimg1859,0.01,2,simple
747,ironhacktech2,0.01,2,simple
748,jannMorenoJ,0.719,2,simple
749,jdgaitanf,0.505,2,simple
750,nikolasto,0.28,2,simple
751,pahigueraf,0.461,2,simple
752,sarguellesr,0.137,2,simple
753,uxjudges1,0.01,2,simple
754,uxjudges,0.01,2,simple
755,vvargasd,0.01,2,simple
756,Acreed21,0.01,3,maps
757,Camiioo,0.637,3,maps
758,FredyRosero,0.007,3,maps
759,JamerMejiaGarcia,0.01,3,maps
760,LauraMolina,0.01,3,maps
761,RafaelCruz15,0.01,3,maps
762,adcorredorm,0.01,3,maps
763,ayperezc,0.722,3,maps
764,biherrerap,0.01,3,maps
765,gimg1859,0.01,3,maps
766,pahigueraf,0.01,3,maps
767,sarguellesr,0.01,3,maps
768,pahigueraf,0.01,3,charts
769,Acreed21,0.002,3,complete
770,Camiioo,0.636,3,complete
771,FredyRosero,0.149,3,complete
772,JamerMejiaGarcia,0.01,3,complete
773,Jfcastroh,0.707,3,complete
774,LauraMolina,0.084,3,complete
775,RafaelCruz15,0.01,3,complete
776,adcorredorm,0.01,3,complete
777,alebautis,0.01,3,complete
778,ayperezc,0.18,3,complete
779,bfprietoc,0.01,3,complete
780,biherrerap,0.662,3,complete
781,dahrojasca,0.579,3,complete
782,davideperdomo,0.272,3,complete
783,frnkbs,0.257,3,complete
784,gahormigag,0.01,3,complete
785,gimg1859,0.01,3,complete
786,ironhacktech2,0.131,3,complete
787,jannMorenoJ,0.01,3,complete
788,jdgaitanf,0.59,3,complete
789,nikolasto,0.671,3,complete
790,pahigueraf,0.01,3,complete
791,sarguellesr,0.01,3,complete
792,uxjudges1,0.01,3,complete
793,uxjudges,0.01,3,complete
794,vvargasd,0.01,3,complete
795,Acreed21,0.002,3,simple
796,Camiioo,0.01,3,simple
797,FredyRosero,0.068,3,simple
798,JamerMejiaGarcia,0.01,3,simple
799,Jfcastroh,0.536,3,simple
800,LauraMolina,0.01,3,simple
801,RafaelCruz15,0.01,3,simple
802,adcorredorm,0.01,3,simple
803,alebautis,0.01,3,simple
